Pixel (red=255, green=255, blue=255, alpha=1.0) x 2997
Pixel (red=0, green=0, blue=0, alpha=1.0) x 824
Pixel (red=8, green=8, blue=8, alpha=1.0) x 21
Pixel (red=247, green=247, blue=247, alpha=1.0) x 20
Pixel (red=1, green=1, blue=1, alpha=1.0) x 17
Pixel (red=69, green=69, blue=69, alpha=1.0) x 16
Pixel (red=249, green=249, blue=249, alpha=1.0) x 15
Pixel (red=254, green=254, blue=254, alpha=1.0) x 11
Pixel (red=222, green=222, blue=222, alpha=1.0) x 9
Pixel (red=2, green=2, blue=2, alpha=1.0) x 9
Pixel (red=237, green=237, blue=237, alpha=1.0) x 8
Pixel (red=20, green=20, blue=20, alpha=1.0) x 8
Pixel (red=38, green=38, blue=38, alpha=1.0) x 8
Pixel (red=16, green=16, blue=16, alpha=1.0) x 8
Pixel (red=90, green=90, blue=90, alpha=1.0) x 7
Pixel (red=3, green=3, blue=3, alpha=1.0) x 7
Pixel (red=183, green=183, blue=183, alpha=1.0) x 6
Pixel (red=125, green=125, blue=125, alpha=1.0) x 6
Pixel (red=165, green=165, blue=165, alpha=1.0) x 6
Pixel (red=169, green=169, blue=169, alpha=1.0) x 5
Pixel (red=55, green=55, blue=55, alpha=1.0) x 5
Pixel (red=102, green=102, blue=102, alpha=1.0) x 5
Pixel (red=253, green=253, blue=253, alpha=1.0) x 5
Pixel (red=108, green=108, blue=108, alpha=1.0) x 4
Pixel (red=84, green=84, blue=84, alpha=1.0) x 4
Pixel (red=234, green=234, blue=234, alpha=1.0) x 4
Pixel (red=179, green=179, blue=179, alpha=1.0) x 4
Pixel (red=107, green=107, blue=107, alpha=1.0) x 4
Pixel (red=50, green=50, blue=50, alpha=1.0) x 4
Pixel (red=219, green=219, blue=219, alpha=1.0) x 4
Pixel (red=197, green=197, blue=197, alpha=1.0) x 3
Pixel (red=155, green=155, blue=155, alpha=1.0) x 3
Pixel (red=170, green=170, blue=170, alpha=1.0) x 3
Pixel (red=154, green=154, blue=154, alpha=1.0) x 3
Pixel (red=34, green=34, blue=34, alpha=1.0) x 3
Pixel (red=205, green=205, blue=205, alpha=1.0) x 3
Pixel (red=209, green=209, blue=209, alpha=1.0) x 3
Pixel (red=140, green=140, blue=140, alpha=1.0) x 2
Pixel (red=252, green=252, blue=252, alpha=1.0) x 2
Pixel (red=85, green=85, blue=85, alpha=1.0) x 2
Pixel (red=119, green=119, blue=119, alpha=1.0) x 2
Pixel (red=120, green=120, blue=120, alpha=1.0) x 2
Pixel (red=251, green=251, blue=251, alpha=1.0) x 1
Pixel (red=56, green=56, blue=56, alpha=1.0) x 1
Pixel (red=190, green=190, blue=190, alpha=1.0) x 1
Pixel (red=126, green=126, blue=126, alpha=1.0) x 1
Pixel (red=150, green=150, blue=150, alpha=1.0) x 1
Pixel (red=178, green=178, blue=178, alpha=1.0) x 1
Pixel (red=207, green=207, blue=207, alpha=1.0) x 1
Pixel (red=149, green=149, blue=149, alpha=1.0) x 1
Pixel (red=7, green=7, blue=7, alpha=1.0) x 1
Pixel (red=58, green=58, blue=58, alpha=1.0) x 1
Pixel (red=148, green=148, blue=148, alpha=1.0) x 1
Pixel (red=74, green=74, blue=74, alpha=1.0) x 1
Pixel (red=250, green=250, blue=250, alpha=1.0) x 1
Pixel (red=39, green=39, blue=39, alpha=1.0) x 1
